orientations: 9, n_components: 50
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.7235084594835263
----------------------------------------------------------------------------------------------------------------------------
orientations: 9, n_components: 100
n_neighbors: 1, accuracy train: 0.9999045710468556, accuracy val: 0.6812110418521816
n_neighbors: 2, accuracy train: 0.8255558736520661, accuracy val: 0.6464826357969724
n_neighbors: 3, accuracy train: 0.8225975761045902, accuracy val: 0.6856634016028496
n_neighbors: 4, accuracy train: 0.7992174825842161, accuracy val: 0.691006233303651
n_neighbors: 5, accuracy train: 0.7897700162229221, accuracy val: 0.697239536954586
n_neighbors: 6, accuracy train: 0.777841397079874, accuracy val: 0.6918967052537845
n_neighbors: 7, accuracy train: 0.7729745204695104, accuracy val: 0.695013357079252
n_neighbors: 8, accuracy train: 0.7690619333905907, accuracy val: 0.6994657168299199
n_neighbors: 9, accuracy train: 0.7656264910773929, accuracy val: 0.705253784505788
n_neighbors: 10, accuracy train: 0.7602824697013074, accuracy val: 0.7039180765805877
n_neighbors: 11, accuracy train: 0.7618093329516176, accuracy val: 0.6994657168299199
n_neighbors: 12, accuracy train: 0.7568470273881096, accuracy val: 0.6981300089047195
n_neighbors: 13, accuracy train: 0.7528390113560455, accuracy val: 0.7056990204808549
n_neighbors: 14, accuracy train: 0.7500715717148583, accuracy val: 0.703472840605521
n_neighbors: 15, accuracy train: 0.7489264242771256, accuracy val: 0.7043633125556545
n_neighbors: 16, accuracy train: 0.7453001240576391, accuracy val: 0.7025823686553874
n_neighbors: 17, accuracy train: 0.7430098291821738, accuracy val: 0.7065894924309885
n_neighbors: 18, accuracy train: 0.7383338104780991, accuracy val: 0.7048085485307213
n_neighbors: 19, accuracy train: 0.7378566657123772, accuracy val: 0.707479964381122
n_neighbors: 20, accuracy train: 0.7369023761809333, accuracy val: 0.7056990204808549
n_neighbors: 21, accuracy train: 0.7361389445557782, accuracy val: 0.7070347284060552
n_neighbors: 22, accuracy train: 0.7344212233991793, accuracy val: 0.705253784505788
n_neighbors: 23, accuracy train: 0.731844641664281, accuracy val: 0.701246660730187
n_neighbors: 24, accuracy train: 0.7297452046951045, accuracy val: 0.7008014247551202
n_neighbors: 25, accuracy train: 0.7282183414447944, accuracy val: 0.6967943009795191
n_neighbors: 26, accuracy train: 0.7269777650539173, accuracy val: 0.6981300089047195
n_neighbors: 27, accuracy train: 0.7270731940070617, accuracy val: 0.6994657168299199
n_neighbors: 28, accuracy train: 0.724878328084741, accuracy val: 0.699020480854853
n_neighbors: 29, accuracy train: 0.7241148964595858, accuracy val: 0.6999109528049866
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.7119323241317899
----------------------------------------------------------------------------------------------------------------------------
orientations: 9, n_components: 200
n_neighbors: 1, accuracy train: 0.9999045710468556, accuracy val: 0.6571682991985752
n_neighbors: 2, accuracy train: 0.8246970130737665, accuracy val: 0.6300089047195013
n_neighbors: 3, accuracy train: 0.8131501097432962, accuracy val: 0.6576135351736421
n_neighbors: 4, accuracy train: 0.7922511690046761, accuracy val: 0.6620658949243099
n_neighbors: 5, accuracy train: 0.7759328180169863, accuracy val: 0.6718610863757791
n_neighbors: 6, accuracy train: 0.769634507109457, accuracy val: 0.6718610863757791
n_neighbors: 7, accuracy train: 0.767153354327703, accuracy val: 0.674087266251113
n_neighbors: 8, accuracy train: 0.7558927378566657, accuracy val: 0.6772039180765805
n_neighbors: 9, accuracy train: 0.7543658746063555, accuracy val: 0.678539626001781
n_neighbors: 10, accuracy train: 0.7494035690428476, accuracy val: 0.684772929652716
n_neighbors: 11, accuracy train: 0.745777268823361, accuracy val: 0.6807658058771149
n_neighbors: 12, accuracy train: 0.7385246683843878, accuracy val: 0.6767586821015138
n_neighbors: 13, accuracy train: 0.7356617997900563, accuracy val: 0.6794300979519146
n_neighbors: 14, accuracy train: 0.7299360626013932, accuracy val: 0.6763134461264471
n_neighbors: 15, accuracy train: 0.731844641664281, accuracy val: 0.6798753339269813
n_neighbors: 16, accuracy train: 0.7247828991315965, accuracy val: 0.6789848619768477
n_neighbors: 17, accuracy train: 0.7245920412253077, accuracy val: 0.6776491540516474
n_neighbors: 18, accuracy train: 0.7197251646149442, accuracy val: 0.6798753339269813
n_neighbors: 19, accuracy train: 0.7218246015841207, accuracy val: 0.6821015138023152
n_neighbors: 20, accuracy train: 0.7180074434583452, accuracy val: 0.6807658058771149
n_neighbors: 21, accuracy train: 0.7177211565989121, accuracy val: 0.6843276936776491
n_neighbors: 22, accuracy train: 0.7138085695199924, accuracy val: 0.6798753339269813
n_neighbors: 23, accuracy train: 0.7132359958011261, accuracy val: 0.680320569902048
n_neighbors: 24, accuracy train: 0.7118999904571047, accuracy val: 0.6789848619768477
n_neighbors: 25, accuracy train: 0.7106594140662277, accuracy val: 0.6763134461264471
n_neighbors: 26, accuracy train: 0.7090371218627731, accuracy val: 0.674087266251113
n_neighbors: 27, accuracy train: 0.709514266628495, accuracy val: 0.6745325022261799
n_neighbors: 28, accuracy train: 0.7069376848935968, accuracy val: 0.6776491540516474
n_neighbors: 29, accuracy train: 0.7073194007061743, accuracy val: 0.6767586821015138
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.7021371326803205
----------------------------------------------------------------------------------------------------------------------------
orientations: 9, n_components: 500
n_neighbors: 1, accuracy train: 0.9999045710468556, accuracy val: 0.6402493321460374
n_neighbors: 2, accuracy train: 0.8168718389159271, accuracy val: 0.6153161175422974
n_neighbors: 3, accuracy train: 0.8034163565225689, accuracy val: 0.6353517364203027
n_neighbors: 4, accuracy train: 0.7777459681267297, accuracy val: 0.6393588601959038
n_neighbors: 5, accuracy train: 0.7633361962019277, accuracy val: 0.6549421193232413
n_neighbors: 6, accuracy train: 0.7557973089035214, accuracy val: 0.6576135351736421
n_neighbors: 7, accuracy train: 0.7504532875274358, accuracy val: 0.6544968833481746
n_neighbors: 8, accuracy train: 0.7433915449947514, accuracy val: 0.6611754229741763
n_neighbors: 9, accuracy train: 0.741292108025575, accuracy val: 0.6607301869991096
n_neighbors: 10, accuracy train: 0.733848649680313, accuracy val: 0.6665182546749777
n_neighbors: 11, accuracy train: 0.7321309285237141, accuracy val: 0.6625111308993766
n_neighbors: 12, accuracy train: 0.725641759709896, accuracy val: 0.6629563668744435
n_neighbors: 13, accuracy train: 0.7261189044756179, accuracy val: 0.6558325912733749
n_neighbors: 14, accuracy train: 0.7203931672869549, accuracy val: 0.6611754229741763
n_neighbors: 15, accuracy train: 0.7178165855520565, accuracy val: 0.6576135351736421
n_neighbors: 16, accuracy train: 0.7134268537074149, accuracy val: 0.6567230632235085
n_neighbors: 17, accuracy train: 0.7110411298788052, accuracy val: 0.6567230632235085
n_neighbors: 18, accuracy train: 0.7063651111747304, accuracy val: 0.6611754229741763
n_neighbors: 19, accuracy train: 0.7061742532684416, accuracy val: 0.6634016028495102
n_neighbors: 20, accuracy train: 0.7068422559404524, accuracy val: 0.6642920747996438
n_neighbors: 21, accuracy train: 0.7035976715335432, accuracy val: 0.6607301869991096
n_neighbors: 22, accuracy train: 0.7047428189712759, accuracy val: 0.6620658949243099
n_neighbors: 23, accuracy train: 0.7019753793300888, accuracy val: 0.6593944790739091
n_neighbors: 24, accuracy train: 0.7026433820020994, accuracy val: 0.6562778272484416
n_neighbors: 25, accuracy train: 0.7015936635175112, accuracy val: 0.6602849510240427
n_neighbors: 26, accuracy train: 0.6982536501574578, accuracy val: 0.6620658949243099
n_neighbors: 27, accuracy train: 0.6987307949231797, accuracy val: 0.6629563668744435
n_neighbors: 28, accuracy train: 0.6973947895791583, accuracy val: 0.6651825467497774
n_neighbors: 29, accuracy train: 0.69481820784426, accuracy val: 0.6607301869991096
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.6562778272484416
----------------------------------------------------------------------------------------------------------------------------
================================================================================================================================
orientations: 18, n_components: 50
n_neighbors: 1, accuracy train: 0.9999045710468556, accuracy val: 0.695013357079252
n_neighbors: 2, accuracy train: 0.8338581925756274, accuracy val: 0.6714158504007124
n_neighbors: 3, accuracy train: 0.8308044660750071, accuracy val: 0.7048085485307213
n_neighbors: 4, accuracy train: 0.8056112224448898, accuracy val: 0.709706144256456
n_neighbors: 5, accuracy train: 0.7991220536310717, accuracy val: 0.7168299198575245
n_neighbors: 6, accuracy train: 0.789006584597767, accuracy val: 0.717720391807658
n_neighbors: 7, accuracy train: 0.7864300028628686, accuracy val: 0.719946571682992
n_neighbors: 8, accuracy train: 0.7789865445176066, accuracy val: 0.726179875333927
n_neighbors: 9, accuracy train: 0.7768871075484302, accuracy val: 0.7266251113089938
n_neighbors: 10, accuracy train: 0.772115659891211, accuracy val: 0.7221727515583259
n_neighbors: 11, accuracy train: 0.7731653783757992, accuracy val: 0.726179875333927
n_neighbors: 12, accuracy train: 0.7701116518751789, accuracy val: 0.7195013357079252
n_neighbors: 13, accuracy train: 0.7669624964214142, accuracy val: 0.7226179875333927
n_neighbors: 14, accuracy train: 0.7644813436396602, accuracy val: 0.7154942119323241
n_neighbors: 15, accuracy train: 0.7633361962019277, accuracy val: 0.7186108637577916
n_neighbors: 16, accuracy train: 0.7599007538887298, accuracy val: 0.7190560997328584
n_neighbors: 17, accuracy train: 0.760187040748163, accuracy val: 0.719946571682992
n_neighbors: 18, accuracy train: 0.755701879950377, accuracy val: 0.7181656277827249
n_neighbors: 19, accuracy train: 0.7543658746063555, accuracy val: 0.723953695458593
n_neighbors: 20, accuracy train: 0.7526481534497567, accuracy val: 0.726179875333927
n_neighbors: 21, accuracy train: 0.7509304322931577, accuracy val: 0.7230632235084595
n_neighbors: 22, accuracy train: 0.7505487164805802, accuracy val: 0.7230632235084595
n_neighbors: 23, accuracy train: 0.7508350033400134, accuracy val: 0.7230632235084595
n_neighbors: 24, accuracy train: 0.7464452714953717, accuracy val: 0.7186108637577916
n_neighbors: 25, accuracy train: 0.7492127111365589, accuracy val: 0.719946571682992
n_neighbors: 26, accuracy train: 0.7487355663708369, accuracy val: 0.7186108637577916
n_neighbors: 27, accuracy train: 0.7473995610268155, accuracy val: 0.7190560997328584
n_neighbors: 28, accuracy train: 0.7485447084645481, accuracy val: 0.723953695458593
n_neighbors: 29, accuracy train: 0.7455864109170722, accuracy val: 0.7217275155832591
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.7422083704363313
----------------------------------------------------------------------------------------------------------------------------
orientations: 18, n_components: 100
n_neighbors: 1, accuracy train: 0.9999045710468556, accuracy val: 0.6829919857524488
n_neighbors: 2, accuracy train: 0.8288958870121195, accuracy val: 0.6518254674977738
n_neighbors: 3, accuracy train: 0.8250787288863441, accuracy val: 0.6798753339269813
n_neighbors: 4, accuracy train: 0.8035117854757133, accuracy val: 0.6883348174532502
n_neighbors: 5, accuracy train: 0.7945414638801412, accuracy val: 0.6825467497773821
n_neighbors: 6, accuracy train: 0.7844259948468365, accuracy val: 0.6883348174532502
n_neighbors: 7, accuracy train: 0.7785093997518847, accuracy val: 0.6963490650044524
n_neighbors: 8, accuracy train: 0.7703025097814677, accuracy val: 0.7030276046304541
n_neighbors: 9, accuracy train: 0.7692527912968795, accuracy val: 0.7039180765805877
n_neighbors: 10, accuracy train: 0.7608550434201736, accuracy val: 0.7030276046304541
n_neighbors: 11, accuracy train: 0.7597098959824411, accuracy val: 0.705253784505788
n_neighbors: 12, accuracy train: 0.7587556064509973, accuracy val: 0.705253784505788
n_neighbors: 13, accuracy train: 0.7561790247160989, accuracy val: 0.709706144256456
n_neighbors: 14, accuracy train: 0.7544613035594999, accuracy val: 0.709706144256456
n_neighbors: 15, accuracy train: 0.7540795877469224, accuracy val: 0.715939447907391
n_neighbors: 16, accuracy train: 0.7495944269491364, accuracy val: 0.7101513802315227
n_neighbors: 17, accuracy train: 0.7487355663708369, accuracy val: 0.711487088156723
n_neighbors: 18, accuracy train: 0.7442504055730509, accuracy val: 0.7070347284060552
n_neighbors: 19, accuracy train: 0.7430098291821738, accuracy val: 0.705253784505788
n_neighbors: 20, accuracy train: 0.7419601106975856, accuracy val: 0.705253784505788
n_neighbors: 21, accuracy train: 0.7383338104780991, accuracy val: 0.7070347284060552
n_neighbors: 22, accuracy train: 0.7390018131501097, accuracy val: 0.7039180765805877
n_neighbors: 23, accuracy train: 0.7376658078060884, accuracy val: 0.7056990204808549
n_neighbors: 24, accuracy train: 0.7373795209466553, accuracy val: 0.7079252003561888
n_neighbors: 25, accuracy train: 0.7373795209466553, accuracy val: 0.7061442564559216
n_neighbors: 26, accuracy train: 0.7354709418837675, accuracy val: 0.7039180765805877
n_neighbors: 27, accuracy train: 0.734325794446035, accuracy val: 0.7043633125556545
n_neighbors: 28, accuracy train: 0.7327989311957248, accuracy val: 0.703472840605521
n_neighbors: 29, accuracy train: 0.7312720679454147, accuracy val: 0.6967943009795191
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.7243989314336599
----------------------------------------------------------------------------------------------------------------------------
orientations: 18, n_components: 200
n_neighbors: 1, accuracy train: 0.9999045710468556, accuracy val: 0.6731967943009796
n_neighbors: 2, accuracy train: 0.8241244393549003, accuracy val: 0.6335707925200356
n_neighbors: 3, accuracy train: 0.8233610077297452, accuracy val: 0.6567230632235085
n_neighbors: 4, accuracy train: 0.7954957534115851, accuracy val: 0.6558325912733749
n_neighbors: 5, accuracy train: 0.7844259948468365, accuracy val: 0.6674087266251113
n_neighbors: 6, accuracy train: 0.7765053917358526, accuracy val: 0.6696349065004452
n_neighbors: 7, accuracy train: 0.7680122149060025, accuracy val: 0.6780943900267141
n_neighbors: 8, accuracy train: 0.7593281801698636, accuracy val: 0.6772039180765805
n_neighbors: 9, accuracy train: 0.7554155930909437, accuracy val: 0.6780943900267141
n_neighbors: 10, accuracy train: 0.7521710086840347, accuracy val: 0.6776491540516474
n_neighbors: 11, accuracy train: 0.7473041320736712, accuracy val: 0.680320569902048
n_neighbors: 12, accuracy train: 0.7425326844164519, accuracy val: 0.6843276936776491
n_neighbors: 13, accuracy train: 0.7378566657123772, accuracy val: 0.680320569902048
n_neighbors: 14, accuracy train: 0.7354709418837675, accuracy val: 0.6780943900267141
n_neighbors: 15, accuracy train: 0.7346120813054681, accuracy val: 0.680320569902048
n_neighbors: 16, accuracy train: 0.7312720679454147, accuracy val: 0.6758682101513802
n_neighbors: 17, accuracy train: 0.7298406336482489, accuracy val: 0.6834372217275155
n_neighbors: 18, accuracy train: 0.7271686229602061, accuracy val: 0.6767586821015138
n_neighbors: 19, accuracy train: 0.7249737570378852, accuracy val: 0.6829919857524488
n_neighbors: 20, accuracy train: 0.7219200305372651, accuracy val: 0.6812110418521816
n_neighbors: 21, accuracy train: 0.7209657410058211, accuracy val: 0.6807658058771149
n_neighbors: 22, accuracy train: 0.7200114514743773, accuracy val: 0.6883348174532502
n_neighbors: 23, accuracy train: 0.7183891592709228, accuracy val: 0.686553873552983
n_neighbors: 24, accuracy train: 0.7190571619429335, accuracy val: 0.6856634016028496
n_neighbors: 25, accuracy train: 0.71571714858288, accuracy val: 0.6861086375779163
n_neighbors: 26, accuracy train: 0.7141902853325699, accuracy val: 0.6869991095280499
n_neighbors: 27, accuracy train: 0.7124725641759709, accuracy val: 0.6821015138023152
n_neighbors: 28, accuracy train: 0.711231987785094, accuracy val: 0.6821015138023152
n_neighbors: 29, accuracy train: 0.7100868403473614, accuracy val: 0.6829919857524488
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.7146037399821905
----------------------------------------------------------------------------------------------------------------------------
orientations: 18, n_components: 500
n_neighbors: 1, accuracy train: 0.9999045710468556, accuracy val: 0.6438112199465716
n_neighbors: 2, accuracy train: 0.8064700830231892, accuracy val: 0.6108637577916296
n_neighbors: 3, accuracy train: 0.807901517320355, accuracy val: 0.6429207479964381
n_neighbors: 4, accuracy train: 0.78232655787766, accuracy val: 0.6482635796972396
n_neighbors: 5, accuracy train: 0.7699207939688901, accuracy val: 0.6589492430988424
n_neighbors: 6, accuracy train: 0.7624773356236282, accuracy val: 0.653606411398041
n_neighbors: 7, accuracy train: 0.7587556064509973, accuracy val: 0.6625111308993766
n_neighbors: 8, accuracy train: 0.7519801507777459, accuracy val: 0.6576135351736421
n_neighbors: 9, accuracy train: 0.7500715717148583, accuracy val: 0.6656277827248441
n_neighbors: 10, accuracy train: 0.7443458345261953, accuracy val: 0.6669634906500446
n_neighbors: 11, accuracy train: 0.7390972421032541, accuracy val: 0.6731967943009796
n_neighbors: 12, accuracy train: 0.7345166523523237, accuracy val: 0.6705253784505788
n_neighbors: 13, accuracy train: 0.7339440786334573, accuracy val: 0.6682991985752449
n_neighbors: 14, accuracy train: 0.7278366256322168, accuracy val: 0.6696349065004452
n_neighbors: 15, accuracy train: 0.7246874701784521, accuracy val: 0.6745325022261799
n_neighbors: 16, accuracy train: 0.7202977383338105, accuracy val: 0.6651825467497774
n_neighbors: 17, accuracy train: 0.7198205935680886, accuracy val: 0.6714158504007124
n_neighbors: 18, accuracy train: 0.7164805802080351, accuracy val: 0.672306322350846
n_neighbors: 19, accuracy train: 0.7155262906765912, accuracy val: 0.674087266251113
n_neighbors: 20, accuracy train: 0.7159080064891689, accuracy val: 0.6696349065004452
n_neighbors: 21, accuracy train: 0.7182937303177784, accuracy val: 0.6665182546749777
n_neighbors: 22, accuracy train: 0.7153354327703025, accuracy val: 0.6709706144256455
n_neighbors: 23, accuracy train: 0.7127588510354042, accuracy val: 0.6749777382012466
n_neighbors: 24, accuracy train: 0.7109457009256609, accuracy val: 0.6709706144256455
n_neighbors: 25, accuracy train: 0.7086554060501956, accuracy val: 0.6696349065004452
n_neighbors: 26, accuracy train: 0.7083691191907625, accuracy val: 0.667853962600178
n_neighbors: 27, accuracy train: 0.7081782612844737, accuracy val: 0.672306322350846
n_neighbors: 28, accuracy train: 0.7048382479244203, accuracy val: 0.6731967943009796
n_neighbors: 29, accuracy train: 0.7019753793300888, accuracy val: 0.6705253784505788
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.6700801424755121
----------------------------------------------------------------------------------------------------------------------------
================================================================================================================================
orientations: 36, n_components: 50
n_neighbors = 1, accuracy train: 0.9998939667055455,accuracy = 0.6709549727857497
n_neighbors = 2, accuracy train: 0.8374509596013148,accuracy = 0.6454725383473527
n_neighbors = 3, accuracy train: 0.8361785600678613,accuracy = 0.669223156853043
n_neighbors = 4, accuracy train: 0.8141236348213339,accuracy = 0.6702127659574468
n_neighbors = 5, accuracy train: 0.8005513731311632,accuracy = 0.6808510638297872
n_neighbors = 6, accuracy train: 0.7911144099247164,accuracy = 0.685799109351806
n_neighbors = 7, accuracy train: 0.7928109426359877,accuracy = 0.6875309252845127
n_neighbors = 8, accuracy train: 0.781783480012724,accuracy = 0.6907471548738249
n_neighbors = 9, accuracy train: 0.7793447142402714,accuracy = 0.694210786739238
n_neighbors = 10, accuracy train: 0.7722404835118227,accuracy = 0.6914893617021277
n_neighbors = 11, accuracy train: 0.7682112183225532,accuracy = 0.6907471548738249
n_neighbors = 12, accuracy train: 0.7630155868942848,accuracy = 0.6991588322612569
n_neighbors = 13, accuracy train: 0.762591453716467,accuracy = 0.6954477981197427
n_neighbors = 14, accuracy train: 0.7605768211218322,accuracy = 0.6989114299851559
n_neighbors = 15, accuracy train: 0.758668221821652,accuracy = 0.702375061850569
n_neighbors = 16, accuracy train: 0.756123422754745,accuracy = 0.6966848095002474
n_neighbors = 17, accuracy train: 0.7575018555826529,accuracy = 0.7003958436417616
n_neighbors = 18, accuracy train: 0.7556992895769271,accuracy = 0.6994062345373577
n_neighbors = 19, accuracy train: 0.7554872229880183,accuracy = 0.7038594755071746
n_neighbors = 20, accuracy train: 0.750821758032022,accuracy = 0.7038594755071746
n_neighbors = 21, accuracy train: 0.7517760576821122,accuracy = 0.7031172686788718
n_neighbors = 22, accuracy train: 0.7501855582652953,accuracy = 0.7013854527461653
n_neighbors = 23, accuracy train: 0.7497614250874775,accuracy = 0.7060860959920832
n_neighbors = 24, accuracy train: 0.7487010921429329,accuracy = 0.7053438891637803
n_neighbors = 25, accuracy train: 0.7477467924928427,accuracy = 0.7046016823354775
n_neighbors = 26, accuracy train: 0.745944226487117,accuracy = 0.7078179119247897
n_neighbors = 27, accuracy train: 0.7455200933092991,accuracy = 0.7038594755071746
n_neighbors = 28, accuracy train: 0.7465804262538437,accuracy = 0.7011380504700643
n_neighbors = 29, accuracy train: 0.7453080267203902,accuracy = 0.7060860959920832
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.7279608192341941
----------------------------------------------------------------------------------------------------------------------------
orientations: 36, n_components: 100
n_neighbors: 1, accuracy train: 0.9999045710468556, accuracy val: 0.6776491540516474
n_neighbors: 2, accuracy train: 0.8332856188567611, accuracy val: 0.641139804096171
n_neighbors: 3, accuracy train: 0.8239335814486115, accuracy val: 0.6878895814781835
n_neighbors: 4, accuracy train: 0.8040843591945797, accuracy val: 0.6914514692787177
n_neighbors: 5, accuracy train: 0.7955911823647295, accuracy val: 0.6869991095280499
n_neighbors: 6, accuracy train: 0.785284855425136, accuracy val: 0.6976847729296527
n_neighbors: 7, accuracy train: 0.7802271209084837, accuracy val: 0.697239536954586
n_neighbors: 8, accuracy train: 0.7773642523141521, accuracy val: 0.6941228851291185
n_neighbors: 9, accuracy train: 0.770397938734612, accuracy val: 0.6985752448797863
n_neighbors: 10, accuracy train: 0.7660082068899704, accuracy val: 0.6994657168299199
n_neighbors: 11, accuracy train: 0.7632407672487833, accuracy val: 0.7048085485307213
n_neighbors: 12, accuracy train: 0.758946464357286, accuracy val: 0.7061442564559216
n_neighbors: 13, accuracy train: 0.7551293062315106, accuracy val: 0.699020480854853
n_neighbors: 14, accuracy train: 0.753220727168623, accuracy val: 0.6981300089047195
n_neighbors: 15, accuracy train: 0.7559881668098101, accuracy val: 0.699020480854853
n_neighbors: 16, accuracy train: 0.7506441454337246, accuracy val: 0.6967943009795191
n_neighbors: 17, accuracy train: 0.7506441454337246, accuracy val: 0.6967943009795191
n_neighbors: 18, accuracy train: 0.7459681267296497, accuracy val: 0.6914514692787177
n_neighbors: 19, accuracy train: 0.7441549766199065, accuracy val: 0.6981300089047195
n_neighbors: 20, accuracy train: 0.7417692527912969, accuracy val: 0.6967943009795191
n_neighbors: 21, accuracy train: 0.7404332474472755, accuracy val: 0.6905609973285841
n_neighbors: 22, accuracy train: 0.7368069472277889, accuracy val: 0.6905609973285841
n_neighbors: 23, accuracy train: 0.7376658078060884, accuracy val: 0.6945681211041852
n_neighbors: 24, accuracy train: 0.7368069472277889, accuracy val: 0.6932324131789849
n_neighbors: 25, accuracy train: 0.7347075102586125, accuracy val: 0.6945681211041852
n_neighbors: 26, accuracy train: 0.7339440786334573, accuracy val: 0.6923419412288513
n_neighbors: 27, accuracy train: 0.733848649680313, accuracy val: 0.6941228851291185
n_neighbors: 28, accuracy train: 0.7297452046951045, accuracy val: 0.6959038290293855
n_neighbors: 29, accuracy train: 0.7297452046951045, accuracy val: 0.6954585930543188
n_estimators: 100, accuracy train: 0.9999045710468556, accuracy val: 0.7252894033837934
----------------------------------------------------------------------------------------------------------------------------
orientations: 36, n_components: 200
n_neighbors: 1, accuracy train: 0.9999045710468556, accuracy val: 0.6589492430988424
n_neighbors: 2, accuracy train: 0.823551865636034, accuracy val: 0.6295636687444346
n_neighbors: 3, accuracy train: 0.8142952571810287, accuracy val: 0.6527159394479074
n_neighbors: 4, accuracy train: 0.7939688901612749, accuracy val: 0.6562778272484416
n_neighbors: 5, accuracy train: 0.7779368260330184, accuracy val: 0.6593944790739091
n_neighbors: 6, accuracy train: 0.7738333810478099, accuracy val: 0.6634016028495102
n_neighbors: 7, accuracy train: 0.7658173489836817, accuracy val: 0.6700801424755121
n_neighbors: 8, accuracy train: 0.7576104590132646, accuracy val: 0.6682991985752449
n_neighbors: 9, accuracy train: 0.7565607405286764, accuracy val: 0.6629563668744435
n_neighbors: 10, accuracy train: 0.7491172821834144, accuracy val: 0.6629563668744435
n_neighbors: 11, accuracy train: 0.7435824029010402, accuracy val: 0.6669634906500446
n_neighbors: 12, accuracy train: 0.7387155262906766, accuracy val: 0.6727515583259127
n_neighbors: 13, accuracy train: 0.7373795209466553, accuracy val: 0.6651825467497774
n_neighbors: 14, accuracy train: 0.7320354995705697, accuracy val: 0.6691896705253785
n_neighbors: 15, accuracy train: 0.7312720679454147, accuracy val: 0.6714158504007124
n_neighbors: 16, accuracy train: 0.7296497757419601, accuracy val: 0.6727515583259127
n_neighbors: 17, accuracy train: 0.7245920412253077, accuracy val: 0.6727515583259127
n_neighbors: 18, accuracy train: 0.7239240385532971, accuracy val: 0.678539626001781
n_neighbors: 19, accuracy train: 0.7227788911155645, accuracy val: 0.6700801424755121
n_neighbors: 20, accuracy train: 0.7203931672869549, accuracy val: 0.6763134461264471
n_neighbors: 21, accuracy train: 0.718961732989789, accuracy val: 0.6763134461264471
n_neighbors: 22, accuracy train: 0.7193434488023667, accuracy val: 0.6736420302760463
n_neighbors: 23, accuracy train: 0.7175302986926233, accuracy val: 0.674087266251113
n_neighbors: 24, accuracy train: 0.7154308617234469, accuracy val: 0.6682991985752449
n_neighbors: 25, accuracy train: 0.7136177116137036, accuracy val: 0.6674087266251113
n_neighbors: 26, accuracy train: 0.7107548430193721, accuracy val: 0.6700801424755121
n_neighbors: 27, accuracy train: 0.7098959824410727, accuracy val: 0.6709706144256455
